tsw	eng	src	notes
Dumela rra	Hello / good day, sir	peace-corps-L2
Dumela mma	Hello / good day, madam	peace-corps-L2
Dumelang borra le bomma	Good day, ladies and gentlemen	peace-corps-L2	greeting a group
O tsogile jang?	How are you? (sg)	peace-corps-L2	lit. how have you risen
Ke tsogile sentle	I am well	peace-corps-L2
Le tsogile jang?	How are you? (pl)	peace-corps-L2
Re tsogile sentle	We are well	peace-corps-L2
Wena o tsogile jang?	And how are you?	peace-corps-L2
Le kae?	How are you? (informal)	peace-corps-L2	lit. where are you (pl)
Re teng	We are fine / present	peace-corps-L2
Ke teng	I am fine	peace-corps-L2
Re a leboga	Thank you (we thank)	peace-corps-L2
Ke a leboga	Thank you (I thank)	peace-corps-L2
Leina lame ke Itumeleng	My name is Itumeleng	peace-corps-L3
Sefane same ke Moeng	My surname is Moeng	peace-corps-L3
Leina la gago ke mang?	What is your name?	peace-corps-L3
Leina la gagwe ke Thabo	His/her name is Thabo	peace-corps-L3
Sefane sa gagwe ke Thuto	His/her surname is Thuto	peace-corps-L3
Ke tswa kwa Botswana	I am from Botswana	peace-corps-L3
O tswa kae?	Where are you from?	peace-corps-L3
A o tswa kwa Amerika?	Are you from America?	peace-corps-L3
Ke moithaopi	I am a volunteer	peace-corps-L3
Go siame	Goodbye / it's fine / OK	peace-corps-L4
Ke tla go bona	See you	peace-corps-L4
Tlhola sentle	Have a good day	peace-corps-L4
Robala sentle	Good night (sleep well)	peace-corps-L4
Boroko	Good night	peace-corps-L4
Ke tla go bona kamoso	See you tomorrow	peace-corps-L4
Ke tla go bona kgantele	See you later	peace-corps-L4
go kgona	to be able	peace-corps-L5	past: kgonne
go gakolola	to advise / remind	peace-corps-L5	past: gakolotse
go tshaba	to be afraid of / run away	peace-corps-L5	past: tshabile
go araba	to answer	peace-corps-L5	past: arabile
go goroga	to arrive	peace-corps-L5	past: gorogile
go botsa	to ask	peace-corps-L5	past: boditse
go kopa	to ask for (politely)	peace-corps-L5	past: kopile
go tsamaya	to go away / travel	peace-corps-L5	past: tsamaile
go nna	to be / become / sit / live	peace-corps-L5	past: ntse
go simolola	to begin / start	peace-corps-L5	past: simolotse
go dumela	to believe / agree	peace-corps-L5	past: dumetse; also greeting
go adima	to borrow	peace-corps-L5	past: adimile
go tlisa	to bring	peace-corps-L5	past: tlisitse
go reka	to buy	peace-corps-L5	past: rekile
go rekisa	to sell	peace-corps-L5	past: rekisitse
go bitsa	to call someone	peace-corps-L5	past: biditse
go palama	to climb / board	peace-corps-L5	past: palame
go tswala	to close	peace-corps-L5	past: tswetse
go tla	to come	peace-corps-L5	past: tlile
go tsena	to enter / come in	peace-corps-L5	past: tsene
go apaya	to cook	peace-corps-L5	past: apeile
go lela	to cry	peace-corps-L5	past: ledile
go bina	to dance	peace-corps-L5	past: binne
go dira	to do / make	peace-corps-L5	past: dirile
go nwa	to drink	peace-corps-L5	past: nole
go ja	to eat	peace-corps-L5	past: jele
go tlhalosa	to explain	peace-corps-L5	past: tlhalositse
go utlwa	to feel / hear / taste	peace-corps-L5	past: utlwile
go fetsa	to finish	peace-corps-L5	past: feditse
go fitlhela	to find	peace-corps-L5	past: fitlhetse
go baakanya	to fix / prepare	peace-corps-L5	past: baakantse
go itshwarela	to forgive	peace-corps-L5	past: itshwaretse
go bona	to see	peace-corps-L5	past: bonye
go tsoga	to get up / wake up	peace-corps-L5	past: tsogile
go fa	to give	peace-corps-L5	past: file
go ya	to go	peace-corps-L5	past: ile
go itumela	to be happy	peace-corps-L5	past: itumetse
go thusa	to help	peace-corps-L5	past: thusitse
